,now,hex,type,flight,r,t,alt_baro,alt_geom,gs,track,baro_rate,squawk,emergency,category,nav_qnh,nav_altitude_mcp,lat,lon,nic,rc,seen_pos,version,nic_baro,nac_p,nac_v,sil,sil_type,gva,sda,alert,spi,mlat,tisb,messages,seen,rssi,true_heading
67,1669919609.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,5225,5600.0,116.1,317.79,-512.0,1200,none,A7,1016.8,12000.0,19.776077,-155.705354,8,186,0.356,2,1.0,8,2,3,perhour,1.0,2,0.0,0.0,[],[],5390946,0.4,-9.3,
68,1669919639.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,4975,5325.0,118.7,325.64,-640.0,1200,none,A7,1016.8,12000.0,19.788844,-155.715521,8,186,0.369,2,1.0,9,2,3,perhour,1.0,2,0.0,0.0,[],[],5391135,0.4,-2.8,
69,1669919669.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,4650,5000.0,126.0,317.57,-640.0,1200,none,A7,1016.8,12000.0,19.802298,-155.727256,8,186,0.012,2,1.0,9,2,3,perhour,1.0,2,0.0,0.0,[],[],5391332,0.0,-13.1,
70,1669919699.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,4325,4650.0,130.1,313.75,-832.0,1200,none,A7,1016.8,12000.0,19.814634,-155.739741,8,186,0.917,2,1.0,9,2,3,perhour,1.0,2,0.0,0.0,[],[],5391519,0.30000000000000004,-6.1,
71,1669919729.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,3950,4250.0,128.7,314.37,-704.0,1200,none,A7,1016.8,12000.0,19.827389,-155.753723,8,186,0.494,2,1.0,9,2,3,perhour,1.0,2,0.0,0.0,[],[],5391707,0.5,-4.8,
72,1669919759.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,3650,3925.0,128.7,315.63,-448.0,1200,none,A7,1016.8,12000.0,19.840424,-155.767456,8,186,0.069,2,1.0,9,2,3,perhour,1.0,2,0.0,0.0,[],[],5391894,0.1,-3.6,
73,1669919789.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,3425,3700.0,126.7,317.88,-384.0,1200,none,A7,1016.8,12000.0,19.853348,-155.780198,8,186,0.019,2,1.0,9,2,3,perhour,1.0,2,0.0,0.0,[],[],5392084,0.0,-2.7,
74,1669919819.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,3225,3500.0,127.3,316.27,-704.0,1200,none,A7,1016.8,12000.0,19.866211,-155.792607,8,186,0.38,2,1.0,9,2,3,perhour,1.0,2,0.0,0.0,[],[],5392268,0.4,-3.3,
75,1669919849.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,2675,2925.0,131.2,303.81,-1024.0,1200,none,A7,1016.8,12000.0,19.877806,-155.807456,8,186,0.246,2,1.0,9,2,3,perhour,1.0,2,0.0,0.0,[],[],5392444,0.2,-2.5,
76,1669919879.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,2000,2225.0,129.2,296.17,-1152.0,1200,none,A7,1016.8,12000.0,19.886719,-155.824291,8,186,0.039,2,1.0,9,2,3,perhour,1.0,2,0.0,0.0,[],[],5392628,0.0,-2.4,
77,1669919909.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,1425,1625.0,123.0,295.52,-1216.0,1200,none,A7,1016.8,12000.0,19.894363,-155.840868,8,186,0.053,2,1.0,9,2,3,perhour,1.0,2,0.0,0.0,[],[],5392813,0.1,-3.3,
78,1669919939.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,850,1025.0,110.4,305.42,-1024.0,1200,none,A7,1016.8,12000.0,19.902152,-155.855596,8,186,0.457,2,1.0,9,2,3,perhour,1.0,2,0.0,0.0,[],[],5393003,0.5,-3.5,
79,1669919969.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,375,550.0,77.9,326.51,-640.0,1200,none,A7,1016.8,12000.0,19.910858,-155.866633,8,186,0.263,2,1.0,9,2,3,perhour,1.0,2,0.0,0.0,[],[],5393187,0.30000000000000004,-3.0,
80,1669919999.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,175,350.0,48.6,53.37,-512.0,1200,none,A7,1016.8,12000.0,19.91798,-155.864785,8,186,0.615,2,1.0,9,2,3,perhour,1.0,2,0.0,0.0,[],[],5393384,0.2,-6.6,
81,1669920029.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,50,200.0,9.0,63.43,-192.0,1200,none,A7,1016.8,12000.0,19.919998,-155.861566,8,186,0.651,2,1.0,9,2,3,perhour,1.0,2,0.0,0.0,[],[],5393553,0.30000000000000004,-10.7,
82,1669920059.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,ground,225.0,0.9,56.31,-128.0,1200,none,A7,1016.8,12000.0,19.920517,-155.860927,8,186,0.2,2,1.0,9,2,3,perhour,1.0,2,0.0,0.0,[],[],5393621,0.2,-20.7,120.94
83,1669920089.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,ground,225.0,0.0,56.31,-128.0,1200,none,A7,1016.8,12000.0,19.920513,-155.860928,8,186,2.52,2,1.0,9,2,3,perhour,,2,0.0,0.0,[],[],5393651,1.0,-26.0,120.94
84,1669920119.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,ground,,0.0,,,1200,none,A7,,,19.920513,-155.860928,8,186,2.379,2,,9,2,3,perhour,,2,,,[],[],5393668,0.6000000000000001,-26.3,118.12
85,1669920149.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,ground,,0.0,,,1200,none,A7,,,19.920517,-155.860927,8,186,2.743,2,,9,2,3,perhour,,2,,,[],[],5393684,0.0,-25.4,118.12
86,1669920179.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,ground,,0.0,,,1200,none,A7,,,19.920517,-155.860927,8,186,3.192,2,,9,2,3,perhour,,2,,,[],[],5393702,0.0,-26.3,120.94
87,1669920209.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,ground,,0.0,,,1200,none,A7,,,19.920517,-155.860927,8,186,8.869,2,,9,2,3,perhour,,2,,,[],[],5393719,3.5,-26.1,120.94
88,1669920239.493,a02b45,adsb_icao,N11QN   ,N11QN,EC30,ground,,0.0,,,1200,none,A7,,,19.920513,-155.860928,8,186,8.956,2,,9,2,3,perhour,,2,,,[],[],5393736,3.8,-24.5,118.12
89,1669920269.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,ground,,0.0,,,1200,none,A7,,,19.920517,-155.860927,8,186,4.098,2,,9,2,3,perhour,,2,,,[],[],5393750,4.1,-24.3,120.94
90,1669920299.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,ground,,0.0,,,1200,none,A7,,,19.920513,-155.860928,8,186,13.847,2,,9,2,3,perhour,,2,,,[],[],5393765,4.8,-24.2,120.94
91,1669920329.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,ground,,0.0,,,1200,none,A7,,,19.920513,-155.860928,8,186,43.847,2,,9,2,3,perhour,,2,,,[],[],5393765,34.8,-24.2,120.94
92,1669921289.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,ground,,,,,1200,none,A7,,,19.920513,-155.860928,8,186,2.121,2,,9,2,3,perhour,,2,,,[],[],5393828,0.30000000000000004,-25.1,118.12
