,now,hex,type,r,t,alt_baro,gs,true_heading,squawk,lat,lon,nic,rc,seen_pos,version,nac_p,nac_v,sil,sil_type,sda,alert,spi,mlat,tisb,messages,seen,rssi,flight,emergency,category,track,baro_rate,alt_geom,nav_qnh,nav_altitude_mcp,nav_heading,nic_baro,gva,nav_modes,nav_altitude_fms
73,1669854509.492,a23a02,adsb_icao,N24211,B738,ground,3.2,177.19,0512,38.843909,-77.038422,8,186,1.706,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],57198165,0.7000000000000001,-6.5,UAL1598 ,none,A3,176.0,0.0,,,,,,,,
74,1669854509.492,ad6ff2,adsb_icao,N965NN,B738,ground,8.8,123.75,2162,38.841866,-77.037118,8,186,0.0,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64989686,0.0,-7.0,AAL2695 ,none,A3,124.0,0.0,,,,,,,,
75,1669854539.492,a23a02,adsb_icao,N24211,B738,ground,5.8,174.38,0512,38.843373,-77.038345,8,186,3.8040000000000003,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],57198211,1.4,-10.6,UAL1598 ,none,A3,176.0,0.0,,,,,,,,
76,1669854539.492,ad6ff2,adsb_icao,N965NN,B738,ground,0.2,357.19,2162,38.842105,-77.036819,8,186,0.58,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64989774,0.4,-3.1,AAL2695 ,none,A3,124.0,0.0,,,,,,,,
77,1669854569.492,a23a02,adsb_icao,N24211,B738,ground,4.2,160.31,0512,38.842477,-77.038193,8,186,0.088,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],57198265,0.1,-8.8,UAL1598 ,none,A3,176.0,0.0,,,,,,,,
78,1669854569.492,ad6ff2,adsb_icao,N965NN,B738,-25,100.3,354.38,2162,38.848075,-77.037415,8,186,0.051000000000000004,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64989883,0.1,-4.2,AAL2695 ,none,A3,355.43,64.0,-75.0,1014.4,4992.0,7.03,1.0,2.0,,
79,1669854599.492,ad6ff2,adsb_icao,N965NN,B738,650,154.4,354.38,2162,38.868347,-77.039238,8,186,0.185,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64990097,0.0,-3.4,AAL2695 ,none,A3,352.18,2496.0,575.0,1014.4,4992.0,7.03,1.0,2.0,,
80,1669854599.492,a23a02,adsb_icao,N24211,B738,ground,0.0,126.56,0512,38.842268,-77.037933,8,186,1.75,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],57198322,0.7000000000000001,-14.1,UAL1598 ,none,A3,176.0,0.0,,,,,,,,
81,1669854629.492,ad6ff2,adsb_icao,N965NN,B738,1700,163.4,,2162,38.885177,-77.055603,8,186,0.439,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64990390,0.30000000000000004,-5.4,AAL2695 ,none,A3,313.26,1984.0,1600.0,1014.4,4992.0,7.03,1.0,2.0,,
82,1669854629.492,a23a02,adsb_icao,N24211,B738,ground,6.2,78.75,0512,38.841977,-77.036865,8,186,0.042,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],57198382,0.0,-3.8,UAL1598 ,none,A3,100.0,0.0,,,,,,,,
83,1669854659.492,ad6ff2,adsb_icao,N965NN,B738,3025,178.6,,2162,38.901764,-77.078526,8,186,0.07100000000000001,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64990679,0.0,-10.0,AAL2695 ,none,A3,311.37,3008.0,2900.0,1014.4,16992.0,319.92,1.0,2.0,,
84,1669854659.492,a23a02,adsb_icao,N24211,B738,ground,55.5,354.38,0512,38.843742,-77.036984,8,186,0.0,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],57198476,0.0,-5.3,UAL1598 ,none,A3,100.0,0.0,,,,,,,,
85,1669854689.492,ad6ff2,adsb_icao,N965NN,B738,3975,210.9,,2162,38.917969,-77.105992,8,186,0.032,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64990965,0.0,-8.1,AAL2695 ,none,A3,312.69,1600.0,3825.0,1014.4,16992.0,312.19,1.0,2.0,,
86,1669854689.492,a23a02,adsb_icao,N24211,B738,600,162.1,354.38,0512,38.86232,-77.039001,8,186,0.0,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],57198660,0.0,-4.3,UAL1598 ,none,A3,353.27,5120.0,525.0,1014.4,4992.0,7.03,1.0,2.0,,
87,1669854719.492,ad6ff2,adsb_icao,N965NN,B738,5400,221.8,,2162,38.942949,-77.128479,8,186,0.164,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64991258,0.0,-7.4,AAL2695 ,none,A3,328.46,4096.0,5175.0,1014.4,16992.0,336.09,1.0,2.0,,
