iri,source,version,citation,classification,name,description,aliases,superclassIris,defaultIfc,defaultSymbolIdCode
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/DefenseRelatedCapability",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Defense Related Capability",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/Capability",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/DefenseRelatedFunction",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Defense Related Function","Defense functions are those functions captured by Category Codes in the miltary intelligence database or in Joint military doctrine 3-0.  It will be a drop down of choices in implementations. In future versions this may be a defined class",,"http://purl.obolibrary.org/obo/BFO_0000034",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/DefenseRelatedRole",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Defense Related Role",,,"http://purl.obolibrary.org/obo/BFO_0000023",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/ElectronicDevice",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Electronic Device",,,"http://www.ontologyrepository.com/CommonCoreOntologies/Artifact",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/EmitterLibraryNotation",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Emitter Library Notation","Annex term- recommend move to military equipment ontologies once completed",,"http://www.ontologyrepository.com/CommonCoreOntologies/CodeIdentifier",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/EnergyInfrastructureItem",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Energy Infrastructure Item",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/InfrastructureItem",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/EngineeredSystem",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Engineered System","Annex term- recommend move to appropriate CCO module",,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/System",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/EngineeringItem",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Engineering Item",,,"http://www.ontologyrepository.com/CommonCoreOntologies/Artifact",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/EquipmentCode",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Equipment Code","Annex term- recommend move to military equipment ontologies once completed",,"http://www.ontologyrepository.com/CommonCoreOntologies/CodeIdentifier",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/EquipmentItem",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Equipment Item","Though Equipment Item is considered a primitive component of a defense intelligence taxonomy, the choice was made to make it a Defined Class in order to improve integration with the Common Core Ontologies and any potential users of those modules.",,"http://www.ontologyrepository.com/CommonCoreOntologies/Artifact",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/EventDescriptor",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Event Descriptor","An Event Descriptor is used within the DICO knowledge model to aid in the alignment of data associated with an EVENT Object as manifested in an OMS and directed by DIA OBP governance. ",,"http://www.ontologyrepository.com/CommonCoreOntologies/DescriptiveInformationContentEntity",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/ExpendableMaterielItem",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Expendable Materiel Item",,,"http://www.ontologyrepository.com/CommonCoreOntologies/Artifact",,
